id,hash,rank,case,request_written,result_written,verdict_written,envelope_seconds,candidate_start,candidate_end
d673dac105694a9587c1d26ad41bddab,bfad84e98322b512d27c810b0e8cc4e31801bc22deab62d887b25d1fe2c22fb0,7,ibm15,1790092880.9146266,1790092883.3106244,1790092883.4146242,2.5008970119997684,,
5fc7dd134579476bbb7ab3b782b7df55,539a33ab0d6c8bf41e48dd8d19f24a8b894e3c8a90c77c8c8c7fdd16518f5791,7,ibm11,1790093738.3937938,1790093740.7857916,1790093740.8777916,2.4828375659999438,,
30809f43592e4ef78b2752b93080a962,fd9f47f3d443ae1f3f6fbff081c996dadb7be7bba82d1099b2445a69dfc3cde5,7,ibm11,1790092983.9465265,1790092986.2145245,1790092986.3065243,2.3517015260003973,,
46f615ce697341c096bab7b42083725c,b3ac8c0359cbadedfb6d05dfffb4b5b66bff01524c003137d293acee1d7ddc39,7,ibm01,1790090174.3612804,1790090176.9772778,1790090177.1052778,2.6884977689987863,,
dcb3cd9c12c741c0b116283994d548f4,13e4c7a73c5fa7e8061ac4f59f5413cbdbe148cd04b75fb7a167befb07d3dc18,7,ibm12,1790090492.9769711,1790090495.4169686,1790090495.5169685,2.5014484849998553,,
c98848e36100417f86b192173ed5b38c,2b8bb5c8dc4e12e6971b8451e5cc95155a11bc66b19dba1a5ce8198d9743961e,7,ibm16,1790092283.935207,1790092654.258847,1790092654.334847,370.39953868000157,1790092284.086502,1790092581.3398411
bd8e483fbeb6466fb830c8ccdc139cf0,2efe67893d6c4c3e3c099448c77ae0ec4beb6d5b3fa9ecd8bad58944350050eb,7,ibm06,1790093443.9980798,1790093446.4700775,1790093446.5540774,2.551909900001192,,
341207cfc86e49138e1e2fc603419d0f,730f96da93590f6028988429e265dba1f799c043a40f509b7b732ec7e4189b2a,7,ibm10,1790093923.745614,1790093926.1736116,1790093926.2456114,2.500876194000739,,
3374edb472fb421dbf0c554ff2a5a7d7,34e8538c0b31086c88cad7a2645f3492e0391ecc3bc1a790b2bbedea334f449f,7,ibm08,1790094675.1488843,1790094993.4965754,1790094993.5685751,318.4221692959982,1790094675.366908,1790094975.5613348
ea9b33df996d4aacb3934a9b2991336c,3e8cbbd23b5bb57c8e721f8ad2098097ef686edc166285cddb2b5ecf3f3f1573,7,ibm07,1790090579.2208874,1790090891.4525797,1790090891.5325797,312.31119533200035,1790090579.4649348,1790090876.615146
1f89da13bf874c91883f44cf31b61669,9ec534854f8ba9ba666412890cf7bfcd0cf472b79c65d83a5d4c18517cd90203,7,ibm09,1790094515.0210397,1790094517.4610374,1790094517.5210373,2.500848824001878,,
656dc100062244bb918fd348892af322,f2ddd3b3d54d8809471a51bb67839744d9baa51f7a1889b96f6acbe61db75b50,7,ibm03,1790094710.47285,1790095011.6165578,1790095011.6925576,301.22067274000074,1790094710.7301402,1790095002.9938216
327b2afc12994bd587c869246b4e536e,333e534ddc9d0baa76f770fd3099c399d3f295518e9eccf4a8e5ec0424c7df4f,7,ibm08,1790093654.7978752,1790093657.121873,1790093657.2098727,2.4001898530004837,,
95659336b86e4c4bb8dc3218390763df,7be0714a679105ba518352489f2cbf91d945448cff24a0d96dc31150a65603ad,7,ibm13,1790092465.019031,1790092787.194718,1790092787.2747178,322.23303010699965,1790092465.1848164,1790092762.3491714
5c071e3cfdaf4f38ac392c9913b4b99a,e55ff1df3802f702f8d1d648996234d6369716e2ea2cbeffdf043fd810139346,7,ibm06,1790092512.086985,1790092824.8346813,1790092824.9186811,312.8254368679991,1790092512.281598,1790092813.95658
37d0b41726b24e939204b5539f2e8ea7,05d446c11767b1ecd84112bd9ea218c95491628773b9929f7d29551c219a4404,7,ibm09,1790093740.7937915,1790093743.2217894,1790093743.297789,2.500698163999914,,
065cf95c90394cffbaec142b96aaad49,99070e9544e2d77f1c5880000e66617c95d013010674d84ae62c88cb777452dc,7,ibm03,1790094372.8731778,1790094683.2728765,1790094683.3728764,310.49775096099984,1790094373.0554242,1790094674.7013054
24303fc4f3994cc8ac8590f671468cce,8d5ddb7a914b77dc6934b17cf05638a037b67a2e263e9385971363c3a14faae8,7,ibm14,1790090804.8926682,1790090807.228666,1790090807.292666,2.4014269129984314,,
4e276c1ddb1c40679af81c00b08d4030,69f10c22c884ecf05b0911b6c344e896317fe1c0f927a85f3f2ce43934117f3a,7,ibm06,1790093389.4741328,1790093687.0538437,1790093687.1218438,297.64548348600147,1790093389.72239,1790093676.9270444
31d8bfa45c714ca3b34cbaa352e12af4,f48fc9c23039ad121de318ea685dc5d9536a959fb5c08861d83c4c6d084ea8f9,7,ibm09,1790091197.444263,1790091511.431958,1790091511.5279577,314.08578309099903,1790091197.6979363,1790091498.8994756
17df8a176f5e4305bee6e7283bc2139a,fd2f8f769356a0589931fa08ea2deedd30032cf11aa47a687cccd721db1c8eb4,7,ibm18,1790090554.3969114,1790090859.3726137,1790090859.4606137,305.0594166689989,,
e8fc410bd1f642869d3b2abfe9f89d34,f5a5eb7f7bf4751a32b7b291b7e2c995b69671fd0f574da0240f8787a0b4059f,7,ibm07,1790091846.3236322,1790091848.58363,1790091848.67563,2.3511252150019573,,
c1b2538e93ba495cb59cfb1bd2f99069,dca5be8ff0a7319cf39864593b0199485b5a7907deb7a0753f849eb71a4c2650,7,ibm10,1790092569.750929,1790092572.142927,1790092572.2309268,2.4506964960019104,,
bb79f9bdaa864371a7fd38f0a094b3b3,5c5dcccfdfee4afb4f6767180abcf7a1f394c63b5898908c7a92dde667b2a1d3,7,ibm08,1790090939.7485285,1790090942.0765262,1790090942.148526,2.4007009800006927,,
f42f9379e4084fa4ac5868177400b54b,dc7024f9d0f05b64d7df476bc3f8e100ca6e5649c37d8e9ef7d41fa3936a524e,7,ibm03,1790091091.312368,1790091093.6723654,1790091093.7643654,2.4519571810014895,,
3e3ef358225a46bd8cebf48dec553900,bf8b3b4f68cfeb1cacf422c949ec4a9ca83c94b7adb6df6dc9c7fe7b37e571a7,7,ibm09,1790093335.758185,1790093649.80988,1790093649.9418797,314.18489349599986,1790093336.0059478,1790093637.17924
f663fee86d574668adb1d15bca47f9d5,69953912d09492205091fca7934948f568eef6825a731011b2004fa3a40d9984,7,ibm08,1790091225.9682353,1790091228.284233,1790091228.372233,2.401340029999119,,
da39f1b7820a417da8010e8070ab507c,ba9ecf670a667fa21f83da2169d843cdd21a8e98cb5609656dae6d231ad48df5,7,ibm17,1790094662.7608964,1790095097.8204741,1790095097.916474,435.13609950299724,1790094662.9964168,1790094963.170466
e911fba7624b4cba966912ccd70ddf9c,9f0e340a06dc3d29c347952507d6fdd87f1535ad9711eafdfac82d1323140aa5,7,ibm02,1790091215.3642457,1790091217.6802435,1790091217.7682433,2.4017190499980643,,
b8ee5d4be6bb4a90925fc63c7b06fe93,62eb94c75b14d77c4b2d76f1a58f3fa502d037d687dcd382d8c671d5d3fef71d,7,ibm13,1790091837.0156415,1790092146.207341,1790092146.2873409,309.23154436500045,,
3e68ef15f791497485daf1c324d4094d,6a0cb3aa861e96330686608ba3dd5a7bb843e4349028b836a961a4535edf3799,7,ibm08,1790093657.4058726,1790093972.6575665,1790093972.7255664,315.318073866998,1790093657.5527897,1790093954.7217257
6096f027006b487eb50275f54f062117,29ae4d4d269e5e294d6740883228fba57881be1f50008a2655aabcdeb9b68d18,7,ibm07,1790093210.0223072,1790093277.2862418,1790093277.3662417,67.34317997299877,1790093210.2658029,1790093260.9518654
